iter	RMSE
0	0.8770287679
1	0.8461605189
2	0.8165254493
3	0.7883696446
4	0.7604027049
5	0.7357268161
6	0.7112083301
7	0.6878331166
8	0.6655037171
9	0.6438706485
10	0.6241200237
11	0.6051002787
12	0.5868817148
13	0.5705066079
14	0.5545966443
15	0.5381253794
16	0.5236665715
17	0.5087822495
18	0.4946820375
19	0.4806849262
20	0.4681522629
21	0.4557671529
22	0.4444010671
23	0.4348434632
24	0.4244832814
25	0.4141612582
26	0.4050705358
27	0.3964336449
28	0.387629794
29	0.3792238733
30	0.3713410131
31	0.3641107174
32	0.3569603343
33	0.3497549031
34	0.3434317114
35	0.337139084
36	0.3309977808
37	0.3248249927
38	0.3190024564
39	0.3138002876
40	0.3083143301
41	0.3035348759
42	0.2988814656
43	0.29446478
44	0.2906552339
45	0.2865455274
46	0.282352045
47	0.2787687021
48	0.2750920975
49	0.2713550868
50	0.2677807513
51	0.2650905457
52	0.2619000458
53	0.2592712049
54	0.2565381644
55	0.2541631964
56	0.2512984257
57	0.2488344424
58	0.2465078438
59	0.2444477141
60	0.2419940515
61	0.2397738397
62	0.2375846578
63	0.2357768823
64	0.2336878298
65	0.2322396095
66	0.2305031693
67	0.228885084
68	0.2273639057
69	0.2259759211
70	0.2243206217
71	0.2227698435
72	0.2214109713
73	0.2202797178
74	0.2189713897
75	0.2176845438
76	0.2166185065
77	0.2156706861
78	0.2145641088
79	0.2135181552
80	0.2125389492
81	0.2114662789
82	0.210581288
83	0.2098261671
84	0.2088846598
85	0.2082004802
86	0.2074947732
87	0.2067317285
88	0.2058100169
89	0.2050468179
90	0.2043291151
91	0.2035871176
92	0.2028226106
93	0.2021889197
94	0.2017075063
95	0.2009700005
96	0.2003195184
97	0.1997448038
98	0.1992061754
99	0.1986446301
100	0.1981940587
101	0.1977603545
102	0.1972802441
103	0.196807133
104	0.1963179087
105	0.1958664233
106	0.19548763
107	0.1949615529
108	0.1944893744
109	0.1940830504
110	0.1936830184
111	0.1933284124
112	0.1929782456
113	0.1926758963
114	0.1923106665
115	0.1919658351
116	0.1916793506
117	0.1913956984
118	0.1911163611
119	0.1907919228
120	0.190391
121	0.1901389781
122	0.1897940784
123	0.1894946835
124	0.1892906965
125	0.1889901326
126	0.18876783
127	0.1884288474
128	0.1881158416
129	0.1878648583
130	0.1876757502
131	0.1874427698
132	0.1871351651
133	0.1868646807
134	0.1866617375
135	0.1864110398
136	0.1861753206
137	0.1859993841
138	0.1857355355
139	0.1854650359
140	0.1852085659
141	0.1850192371
142	0.1847552526
143	0.1845829817
144	0.18435613
145	0.1841315233
146	0.1839578034
147	0.1837194248
148	0.183549227
149	0.1833305048
150	0.1831149795
151	0.1828642237
152	0.1826580609
153	0.1824227387
154	0.18223439
155	0.1820087502
156	0.1818169319
157	0.1816257002
158	0.1814539971
159	0.1812719695
160	0.1811130715
161	0.1809770079
162	0.1808032773
163	0.1806662658
164	0.1805164032
165	0.18034885
166	0.1801616032
167	0.1799756797
168	0.1798388256
169	0.1796377747
170	0.1794872857
171	0.1793645503
172	0.1791597762
173	0.1790061909
174	0.1788353994
175	0.1786540302
176	0.1783929555
177	0.1782063647
178	0.1780275918
179	0.1778344711
180	0.1776888465
181	0.1775036086
182	0.1773387534
183	0.1771996611
184	0.1770100599
185	0.1768158024
186	0.1765962159
187	0.1764169268
188	0.176251183
189	0.1760897159
190	0.1759497539
191	0.1757839101
192	0.1756112659
193	0.1754825493
194	0.1752874989
195	0.1751031146
196	0.1749751781
197	0.1748580265
198	0.174702434
199	0.1745440064
200	0.1743209654
201	0.1741945409
202	0.1740113824
203	0.1738562231
204	0.1737360899
205	0.1736443467
206	0.1735015014
207	0.1733629613
208	0.17329079
209	0.1731397818
210	0.1729600279
211	0.1728599055
212	0.1727258084
213	0.1725735298
214	0.1724734187
215	0.172314539
216	0.1721981156
217	0.1720917065
218	0.1719251233
219	0.1717653621
220	0.1716145249
221	0.1714591728
222	0.1713085691
223	0.1712333494
224	0.171120842
225	0.1709746191
226	0.170839464
227	0.1706970269
228	0.1705904476
229	0.1704068894
230	0.1703353613
231	0.1702025226
232	0.1700873682
233	0.1700058394
234	0.1699007119
235	0.169795461
236	0.1696703595
237	0.1695815193
238	0.1694497773
239	0.1693514707
240	0.1692331305
241	0.1691856742
242	0.1690522206
243	0.1689548907
244	0.1687528897
245	0.1686369328
246	0.1685816154
247	0.1684563509
248	0.1682887777
249	0.1681979577
250	0.1681399793
251	0.1680383135
252	0.1679444658
253	0.1678158123
254	0.1677503155
255	0.1675700071
256	0.1673726017
257	0.1672468273
258	0.1671368291
259	0.1670481809
260	0.166938663
261	0.1668420909
262	0.1667812132
263	0.166656804
264	0.1665046503
265	0.1663538299
266	0.1662358916
267	0.1660400146
268	0.1659490701
269	0.1657993959
270	0.1656827459
271	0.1656257178
272	0.1655148285
273	0.165426031
274	0.1653137485
275	0.1651674139
276	0.1650783574
277	0.1650040959
278	0.164916211
279	0.1648650844
280	0.164746493
281	0.1646118601
282	0.1644783123
283	0.1643562482
284	0.164272879
285	0.1641420964
286	0.1640209969
287	0.1638713444
288	0.1637386262
289	0.1636126109
290	0.1634374889
291	0.1633578761
292	0.1632814134
293	0.163166478
294	0.1630267988
295	0.1628967667
296	0.1627697607
297	0.1626730336
298	0.1625711878
299	0.1624475607
300	0.1623860768
301	0.1623112531
302	0.162159513
303	0.1620386614
304	0.1619293187
305	0.1618293896
306	0.1616446811
307	0.1615739677
308	0.1614956875
309	0.161450448
310	0.1613248129
311	0.1611810084
312	0.1610368907
313	0.1609643325
314	0.160902325
315	0.1608333413
316	0.1607429764
317	0.1606260132
318	0.160504896
319	0.1604456871
320	0.1603717768
321	0.1602038117
322	0.160048202
323	0.1599961757
324	0.1599359263
325	0.1598002719
326	0.1597203024
327	0.1596220353
328	0.1595391103
329	0.1594124012
330	0.1593317511
331	0.1592623259
332	0.159171689
333	0.1590577299
334	0.1589543739
335	0.1588189853
336	0.1587572637
337	0.1586515959
338	0.1585991611
339	0.1585313031
340	0.1584227063
341	0.1583517694
342	0.1582805274
343	0.15815913
344	0.1580182557
345	0.1579543513
346	0.1579210284
347	0.1577588033
348	0.1576498233
349	0.157615131
350	0.157572571
351	0.1575038221
352	0.1573740864
353	0.1572505763
354	0.1571301798
355	0.1570859642
356	0.156986413
357	0.1569272809
358	0.1568339906
359	0.1566607497
360	0.1565762445
361	0.1564957205
362	0.1564580588
363	0.1563118244
364	0.1562246043
365	0.1560714835
366	0.1559844272
367	0.1558726907
368	0.1557928338
369	0.1556854352
370	0.155568956
371	0.1554573394
372	0.1553617544
373	0.1552994324
374	0.1552642715
375	0.1551638817
376	0.1550519072
377	0.154945404
378	0.1548553128
379	0.154775887
380	0.1547351764
381	0.1546787877
382	0.1545811569
383	0.1545130313
384	0.1543845719
385	0.1543041354
386	0.1542163298
387	0.1541639557
388	0.154017194
389	0.1539296602
390	0.1538229038
391	0.1537372096
392	0.1536821501
393	0.1536188716
394	0.1535171919
395	0.1534286681
396	0.1533259484
397	0.1532388588
398	0.1531480827
399	0.1530755212
400	0.1529379153
401	0.1529086445
402	0.1527849852
403	0.1527472758
404	0.1526792285
405	0.1525931123
406	0.1524430013
407	0.1523761385
408	0.1523390246
409	0.1522286854
410	0.1521727856
411	0.152062618
412	0.1519634312
413	0.1518629618
414	0.1518064482
415	0.1517447554
416	0.1516735773
417	0.1515443281
418	0.1514393306
419	0.1513811269
420	0.1512924026
421	0.1512546864
422	0.1511685143
423	0.1511143936
424	0.1510256152
425	0.1509681186
426	0.1508910257
427	0.1508401534
428	0.1507014246
429	0.1506465263
430	0.1505593477
431	0.1504481025
432	0.1503910892
433	0.1502628963
434	0.150200777
435	0.150116767
436	0.1500266852
437	0.1499428521
438	0.1498837125
439	0.149804912
440	0.1497410965
441	0.1496796067
442	0.1496089211
443	0.1495693216
444	0.1494768278
445	0.1493950539
446	0.1493215279
447	0.1492125198
448	0.1491725681
449	0.1491244108
450	0.1490644403
451	0.1490227145
452	0.1489299569
453	0.1488399999
454	0.1487663205
455	0.1486882224
456	0.1485529472
457	0.1484503732
458	0.1483716374
459	0.1483243663
460	0.148217596
461	0.1481212601
462	0.1480285515
463	0.1479213507
464	0.1478749628
465	0.1478163762
466	0.1477064608
467	0.147641624
468	0.1475317075
469	0.1474965474
470	0.1474319344
471	0.1473880161
472	0.1473281902
473	0.1472171043
474	0.1471448573
475	0.1470640941
476	0.1469837811
477	0.1469229671
478	0.1468197647
479	0.1467682076
480	0.1466466296
481	0.1466160891
482	0.1464811701
483	0.1463658973
484	0.1463143922
485	0.1462216499
486	0.1461739024
487	0.1460868113
488	0.145978883
489	0.145861531
490	0.1457660843
491	0.145708006
492	0.1456079214
493	0.145507687
494	0.1454472852
495	0.1454156412
496	0.1452967333
497	0.145214952
498	0.1451424646
499	0.1450631825
500	0.1449605051
501	0.1448568231
502	0.1448062989
503	0.1447479517
504	0.1446272039
505	0.1445482809
506	0.1444545369
507	0.1444037479
508	0.1443735382
509	0.1442659221
510	0.1441471521
511	0.144062039
512	0.144008264
513	0.1439296556
514	0.1438506975
515	0.1438074743
516	0.1437239326
517	0.1436682961
518	0.1435898066
519	0.1435051789
520	0.1434253173
521	0.1433296055
522	0.1432860171
523	0.143188478
524	0.1430770286
525	0.1430110179
526	0.1429025822
527	0.1428547269
528	0.1427519598
529	0.142672432
530	0.1425793627
531	0.1424729021
532	0.1423879478
533	0.1423238873
534	0.1422723222
535	0.1422054776
536	0.1421168137
537	0.1420944227
538	0.1420573331
539	0.1419547876
540	0.1419077873
541	0.1417982535
542	0.1417468178
543	0.1416369367
544	0.1415749426
545	0.1414569919
546	0.1413816936
547	0.1412592399
548	0.1411751014
549	0.1410663306
550	0.1410099593
551	0.140944291
552	0.1408859056
553	0.1408302446
554	0.1408027238
555	0.1407795378
556	0.1407081464
557	0.1406146129
558	0.1405357359
559	0.1404530832
560	0.1403703543
561	0.1402774347
562	0.1401986626
563	0.1401404484
564	0.1400799966
565	0.1400103387
566	0.1399728265
567	0.1399400524
568	0.1398991877
569	0.1398256865
570	0.1397298254
571	0.1396740769
572	0.1396470449
573	0.1395352542
574	0.1394194085
575	0.139379447
576	0.1392760651
577	0.1392306059
578	0.1391777905
579	0.1391228137
580	0.139053581
581	0.1389754444
582	0.1388942697
583	0.1387853768
584	0.1386952346
585	0.1385843546
586	0.1385524211
587	0.138514764
588	0.1384551124
589	0.1384001258
590	0.138327816
591	0.1382932872
592	0.1382693644
593	0.138190378
594	0.1381423145
595	0.138096927
596	0.1380316685
597	0.1379226917
598	0.1378513405
599	0.1377945969
600	0.1376859861
601	0.1376040077
602	0.1375429757
603	0.1374535544
604	0.1374245123
605	0.1373526449
606	0.1372355688
607	0.1371482982
608	0.1370898909
609	0.1369777493
610	0.1369507056
611	0.1368871892
612	0.1368189859
613	0.1367450563
614	0.1366460643
615	0.1365739928
616	0.1365388974
617	0.136441373
618	0.1363594212
619	0.1362660152
620	0.1361747129
621	0.1361314886
622	0.136023192
623	0.1359914
624	0.1359135391
625	0.1358523994
626	0.1357561674
627	0.1356925577
628	0.1356260583
629	0.1355986444
630	0.1355163776
631	0.1354729643
632	0.1353959643
633	0.1353172047
634	0.13523829
635	0.1352107019
636	0.1351501052
637	0.1350789268
638	0.1350266522
639	0.1349496104
640	0.1349191222
641	0.1348817499
642	0.1348232894
643	0.1347322614
644	0.1346643084
645	0.1345972728
646	0.1345490023
647	0.1344533584
648	0.134410247
649	0.1343710259
650	0.1343025749
651	0.1342825828
652	0.1341910432
653	0.134136339
654	0.1341145191
655	0.1340079747
656	0.1339263356
657	0.1338512539
658	0.1337466946
659	0.13372711
660	0.1336781602
661	0.1336587041
662	0.1336272814
663	0.1335564559
664	0.1334819012
665	0.1334439293
666	0.133377146
667	0.1332937543
668	0.1332140952
669	0.1331517023
670	0.133077061
671	0.1330043462
672	0.132950496
673	0.1329261743
674	0.1328497242
675	0.1328122667
676	0.1327653302
677	0.1326795295
678	0.1326334867
679	0.1325809234
680	0.1325091193
681	0.1324396053
682	0.1323914866
683	0.1323378491
684	0.1322960847
685	0.1322434981
686	0.1321487689
687	0.1320913636
688	0.132034387
689	0.1319841068
690	0.1319035293
691	0.131877335
692	0.1318090169
693	0.1317896987
694	0.1317231903
695	0.1316810482
696	0.1316107965
697	0.131557652
698	0.1314728022
699	0.1314043673
700	0.1313492428
701	0.131320475
702	0.1312331211
703	0.131191306
704	0.1311610018
705	0.1311235602
706	0.1310757864
707	0.1310024001
708	0.1309616181
709	0.1308895955
710	0.1307959814
711	0.1307055202
712	0.1306536516
713	0.1305498046
714	0.130487527
715	0.1304170971
716	0.130329551
717	0.1302779175
718	0.1302156935
719	0.1301708255
720	0.1300987793
721	0.1300305643
722	0.1299606108
723	0.1299229363
724	0.1298900789
725	0.1298239293
726	0.1297797438
727	0.1297219994
728	0.1296712675
729	0.1296462364
730	0.1295865206
731	0.1294896186
732	0.1294489103
733	0.1293981191
734	0.1293162786
735	0.1292603004
736	0.1291867486
737	0.1291151113
738	0.1290858895
739	0.1290280326
740	0.128949765
741	0.1288598185
742	0.1288136337
743	0.1287264622
744	0.1286803634
745	0.1286236459
746	0.1285516712
747	0.128508711
748	0.1284371029
749	0.1283663382
750	0.1283113758
751	0.1282778131
752	0.1282095541
753	0.1281786751
754	0.1281290376
755	0.12808772
756	0.1280645877
757	0.12801145
758	0.1279919099
759	0.1279279091
760	0.1278793584
761	0.1278345327
762	0.1277280138
763	0.1276519514
764	0.1276169435
765	0.1275643419
766	0.1275276891
767	0.1274483517
768	0.1273654328
769	0.1273383566
770	0.1273035277
771	0.1272561984
772	0.1271945212
773	0.1271753666
774	0.1270343797
775	0.1269959975
776	0.1269382372
777	0.1268757515
778	0.1268272079
779	0.126758607
780	0.1267043535
781	0.1266389526
782	0.126582349
783	0.1265369794
784	0.1264602994
785	0.1264220781
786	0.1263860533
787	0.1263072634
788	0.1262643314
789	0.1262175355
790	0.1261920151
791	0.1261197804
792	0.1260789808
793	0.1260333485
794	0.1259101774
795	0.1258447061
796	0.1257885168
797	0.1257274852
798	0.1256769637
799	0.125621978
800	0.1255474152
801	0.1254385322
802	0.1253886714
803	0.1253324533
804	0.1252888998
805	0.125236292
806	0.1251978039
807	0.1251587828
808	0.12512242
809	0.125088208
810	0.1250193368
811	0.12498094
812	0.1249320323
813	0.1248774103
814	0.1248557282
815	0.1247948007
816	0.124719089
817	0.1246751973
818	0.1246429237
819	0.1246011026
820	0.1245608868
821	0.1245120992
822	0.124432619
823	0.1243914166
824	0.1243763299
825	0.1243381452
826	0.1242533352
827	0.1241601528
828	0.1241099759
829	0.1240774785
830	0.1240102425
831	0.1239655717
832	0.1239039882
833	0.1238511096
834	0.1238292938
835	0.1237729
836	0.1237014066
837	0.1236495661
838	0.1235895244
839	0.1235550703
840	0.1234851285
841	0.1234211655
842	0.1233854504
843	0.1233375623
844	0.12330257
845	0.1232396581
846	0.1231905503
847	0.123152453
848	0.1231275479
849	0.1230970291
850	0.1230600607
851	0.1230209098
852	0.1229367046
853	0.122888214
854	0.122859362
855	0.1228269048
856	0.1227655326
857	0.1227239727
858	0.1226859305
859	0.1226465191
860	0.1226106858
861	0.1225599035
862	0.1224852954
863	0.1224335603
864	0.1223867406
865	0.1223522567
866	0.1222591903
867	0.1222252495
868	0.1221933375
869	0.1221432854
870	0.1220973122
871	0.1220303578
872	0.1219672202
873	0.1219111596
874	0.1218709613
875	0.1218096862
876	0.1217463258
877	0.121710785
878	0.1216678451
879	0.1216083029
880	0.1215846248
881	0.1214818173
882	0.1214302327
883	0.1213986986
884	0.1213671839
885	0.1212954279
886	0.1212418868
887	0.121185069
888	0.1211510661
889	0.1210802643
890	0.1210375362
891	0.1210119458
892	0.1209662939
893	0.1208959786
894	0.1208332182
895	0.1207815285
896	0.1207525675
897	0.1207100575
898	0.120673539
899	0.1206422358
900	0.1205730515
901	0.120554826
902	0.1204692587
903	0.1204343541
904	0.120384403
905	0.1202918665
906	0.1202269881
907	0.1201861282
908	0.1201440833
909	0.1200368891
910	0.1200180968
911	0.1199449841
912	0.1198513237
913	0.1197847247
914	0.1197522964
915	0.1196881381
916	0.1196225656
917	0.1195630281
918	0.1195181157
919	0.1194793181
920	0.1194011027
921	0.1193439632
922	0.119313945
923	0.1192525821
924	0.1192303276
925	0.1191664359
926	0.119127703
927	0.1190790449
928	0.1190594803
929	0.1189732521
930	0.1189226718
931	0.1188710328
932	0.1188451835
933	0.1187960941
934	0.1187515272
935	0.1187097611
936	0.1186534867
937	0.118619968
938	0.1185487922
939	0.118522663
940	0.1184692319
941	0.1184309221
942	0.1183755976
943	0.1182963429
944	0.1182301826
945	0.1182060852
946	0.1181610833
947	0.1181215738
948	0.1180639771
949	0.1180452654
950	0.1179895955
951	0.1179701815
952	0.1178645816
953	0.1178087699
954	0.1177602516
955	0.1177041219
956	0.1176442966
957	0.1176090235
958	0.1175499056
959	0.1174854943
960	0.1174252784
961	0.1173688341
962	0.1173322396
963	0.1172972768
964	0.1172530775
965	0.1171861098
966	0.1171346906
967	0.117096855
968	0.1170366616
969	0.1169960391
970	0.1169500706
971	0.1169123716
972	0.1168721721
973	0.116809126
974	0.1167569778
975	0.1167126075
976	0.116669359
977	0.1165876716
978	0.1165455015
979	0.11650987
980	0.116456023
981	0.1164013583
982	0.116351067
983	0.1163101265
984	0.1162597454
985	0.1162186039
986	0.1161556247
987	0.1160555052
988	0.1160357415
989	0.1159904886
990	0.1159375923
991	0.1159054134
992	0.1157992329
993	0.1157328493
994	0.1156900013
995	0.1156569382
996	0.115622677
997	0.1156148119
998	0.1155716759
999	0.1154906795
