iter	Passed	Remaining
0	1	1581
1	3	1526
2	4	1483
3	5	1484
4	7	1464
5	8	1450
6	10	1445
7	11	1462
8	13	1450
9	14	1445
10	16	1441
11	17	1435
12	18	1433
13	20	1424
14	21	1423
15	23	1415
16	24	1412
17	25	1413
18	27	1412
19	28	1411
20	30	1409
21	31	1406
22	32	1399
23	34	1396
24	35	1391
25	36	1385
26	38	1379
27	39	1374
28	40	1369
29	42	1371
30	43	1368
31	45	1366
32	46	1362
33	47	1358
34	49	1356
35	50	1350
36	51	1344
37	53	1342
38	54	1337
39	55	1333
40	56	1333
41	58	1331
42	59	1327
43	60	1322
44	62	1316
45	63	1310
46	64	1304
47	65	1299
48	66	1294
49	67	1290
50	69	1288
51	70	1279
52	71	1276
53	72	1277
54	74	1274
55	75	1271
56	76	1267
57	77	1262
58	78	1258
59	80	1254
60	81	1250
61	82	1246
62	83	1243
63	84	1240
64	86	1237
65	87	1241
66	89	1241
67	90	1240
68	91	1238
69	92	1235
70	94	1231
71	95	1227
72	96	1224
73	97	1220
74	98	1216
75	99	1213
76	101	1211
77	102	1210
78	103	1208
79	104	1207
80	106	1208
81	107	1207
82	109	1207
83	110	1205
84	111	1203
85	113	1201
86	114	1199
87	115	1197
88	116	1196
89	118	1194
90	119	1193
91	120	1192
92	122	1191
93	123	1190
94	124	1188
95	125	1185
96	127	1182
97	128	1179
98	129	1177
99	130	1175
100	131	1174
101	134	1180
102	135	1178
103	136	1176
104	137	1175
105	139	1174
106	140	1171
107	141	1168
108	142	1165
109	143	1162
110	144	1160
111	146	1157
112	147	1158
113	148	1156
114	150	1154
115	151	1153
116	152	1151
117	153	1149
118	155	1148
119	156	1146
120	157	1143
121	158	1141
122	159	1139
123	160	1137
124	162	1134
125	163	1133
126	164	1131
127	165	1130
128	167	1129
129	168	1127
130	169	1126
131	171	1125
132	172	1123
133	173	1121
134	174	1118
135	175	1116
136	177	1115
137	178	1113
138	179	1112
139	180	1110
140	182	1109
141	183	1108
142	184	1107
143	185	1105
144	187	1104
145	188	1102
146	189	1100
147	190	1098
148	191	1096
149	193	1094
150	194	1092
151	195	1091
152	196	1089
153	198	1088
154	199	1087
155	200	1085
156	201	1084
157	203	1082
158	204	1080
159	205	1079
160	206	1077
161	207	1075
162	209	1073
163	210	1071
164	211	1070
165	212	1068
166	214	1067
167	215	1066
168	216	1065
169	217	1064
170	219	1062
171	220	1060
172	221	1058
173	222	1057
174	224	1057
175	225	1056
176	226	1055
177	228	1054
178	229	1053
179	231	1053
180	232	1053
181	234	1052
182	235	1051
183	236	1050
184	238	1049
185	239	1049
186	241	1048
187	242	1047
188	244	1047
189	245	1046
190	246	1045
191	248	1045
192	249	1044
193	251	1043
194	252	1042
195	253	1041
196	255	1040
197	256	1039
198	258	1038
199	259	1037
200	260	1036
201	262	1035
202	263	1034
203	265	1034
204	266	1033
205	267	1032
206	269	1031
207	270	1030
208	272	1029
209	273	1028
210	274	1027
211	276	1026
212	277	1025
213	278	1024
214	280	1023
215	281	1023
216	283	1022
217	284	1021
218	286	1020
219	287	1019
220	289	1018
221	290	1018
222	291	1016
223	293	1016
224	294	1015
225	296	1014
226	297	1013
227	299	1013
228	300	1012
229	302	1011
230	303	1010
231	304	1009
232	306	1008
233	307	1007
234	309	1006
235	310	1005
236	312	1005
237	313	1005
238	315	1004
239	316	1003
240	318	1002
241	319	1001
242	321	1000
243	322	999
244	323	998
245	325	997
246	327	997
247	328	996
248	330	995
249	331	995
250	333	994
251	334	993
252	336	993
253	338	992
254	339	992
255	341	991
256	343	991
257	344	991
258	346	991
259	348	990
260	349	989
261	351	989
